Institute,Program,Degree,Quota,Category,Gender,Opening_Rank,Closing_Rank
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,146271,147635
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),180117,180117
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,"(4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,214768,226763
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,82411,82411
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",All India,ST,Female-only (including Supernumerary),239907,239907
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,59350,75856
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),66693,84724
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,83940,96377
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),212408,212408
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,201378,205319
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Home State,ST,Gender-Neutral,541172,541172
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,42520,47442
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),58993,69745
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,50957,52101
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),74954,74954
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,49053,53516
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),72793,78840
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,136035,157046
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),183657,183657
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,160032,175725
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,"(4 Years, Bachelor of Technology)",Other State,ST,Female-only (including Supernumerary),244291,244291
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),All,India,67204,67204
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Home,State,7122,12192
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Home,State,24776,24776
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Home,State,33041,33041
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,1818,13252
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,19187,24192
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,295201,295201
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,13732,14835
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,26907,26907
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,15993,16955
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,46917,60276
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,82745,110828
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,and Engineering for DASA-CIWG (4,"Years, Bachelor",of,Technology),117359,481635
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science,and Engineering for DASA-Non CIWG,"(4 Years,",Bachelor,of,1347319,1347319
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Home,State,20481,20481
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Home,State,36417,36417
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Home,State,138892,138892
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,15132,16249
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,24362,26734
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,16637,17045
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,30571,30571
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,22011,23180
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,81065,81065
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,130945,130945
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,"and Engineering (4 Years, Bachelor",of Technology),Other,State,140103,140103
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science,and Engineering for DASA-CIWG (4,"Years, Bachelor",of,Technology),809482,809482
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,30207,31421
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),33504,33504
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,36116,36116
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),54809,54809
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,87600,91227
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),96850,96850
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,164558,175779
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),166686,166686
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,20451,24102
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),34048,40266
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,26420,27330
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),40624,40624
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,26141,27565
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),153388,153388
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,"(4 Years, Bachelor of Technology)",Other State,ST,Female-only (including Supernumerary),209539,209539
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Home,State,26098,26770
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Home,State,26765,26765
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Home,State,33560,33560
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Home,State,45672,77935
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Home,State,154506,154506
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Home,State,1173410,1173410
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,16933,19495
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,21348,28824
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,19992,20327
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,32233,32233
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,21770,23920
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,38129,38129
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,82462,94431
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"Communication Engineering (4 Years, Bachelor",of Technology),Other,State,146858,146858
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Home,State,28501,28948
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Home,State,26815,26815
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Home,State,34154,34154
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Other,State,17635,20619
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Other,State,30332,30332
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Other,State,20988,22426
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Other,State,25046,25328
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Other,State,48551,48551
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electronics and,"VLSI Engineering (4 Years, Bachelor",of Technology),Other,State,150141,150141
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),All,India,238060,245561
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Home,State,36643,73433
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Home,State,73274,73274
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Home,State,88333,98718
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Home,State,113299,113299
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Home,State,97257,126234
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Home,State,206547,258059
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,45921,49011
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,63036,70983
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,53031,53131
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,81940,81940
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,53937,57397
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,84239,84431
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,171685,182594
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,255117,257922
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial and,"Production Engineering (4 Years, Bachelor",of Technology),Other,State,318587,318587
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,16359,22021
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),24158,24158
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,25343,25343
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),51415,51415
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,39874,55156
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,152290,152290
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,14530,17144
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),25783,27253
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,17168,17641
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),29913,29913
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,19116,22211
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),36813,36813
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,SC,Gender-Neutral,81267,81267
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"(4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,126060,126060
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Information Technology,"for DASA-CIWG (4 Years, Bachelor",of Technology),DASA-CIWG,OPEN,675536,769321
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),All,India,208588,214746
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Home,State,33138,40924
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Home,State,46398,46398
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Home,State,87227,102353
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Home,State,177433,177433
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Home,State,253046,253046
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,20888,29653
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,43793,49400
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,612457,612457
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,32852,32852
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,49494,49494
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,32149,34389
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,62261,62261
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,119232,133909
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and,"Control Engineering (4 Years, Bachelor",of Technology),Other,State,230519,233490
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Home,State,OPEN,21701,24105
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Home,State,OPEN,27433,28128
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Home,State,SC,163591,163591
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Other,State,OPEN,13737,17489
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Other,State,OPEN,27368,27853
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Other,State,EWS,18718,19157
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Other,State,OBC-NCL,21474,22734
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Other,State,SC,59114,84738
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and,"Computing (4 Years, Bachelor of",Technology) Other,State,ST,162800,169321
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,33460,50504
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),63542,64613
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,65104,65104
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),64698,64698
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,92631,96172
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,OBC-NCL,Female-only (including Supernumerary),185699,210272
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,190248,194980
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),189721,189721
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,31064,35904
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),52990,57560
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Other State,OPEN,(PwD),604507,604507
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,36317,37500
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),60855,60855
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,37139,39974
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,"(4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),61178,70864
