Institute,Program,Degree,Quota,Category,Gender,Opening_Rank,Closing_Rank
National Institute of Technology Nagaland Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Female-only,(including,Supernumerary),115317,119174
National Institute of Technology Nagaland Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,81936,82815,81936,82815
National Institute of Technology Nagaland Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,73695,73695,73695,73695
National Institute of Technology Nagaland Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Female-only,(including,Supernumerary),141469,141469
National Institute of Technology Nagaland Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,SC Gender-Neutral,193616,193616,193616,193616
National Institute of Technology Nagaland Electronics and Instrumentation Engineering,"(4 Years,",Bachelor of Technology) All India,ST Gender-Neutral,440644,454779,440644,454779
National Institute of Technology Nagaland Electronics and Instrumentation Engineering,"(4 Years,",Bachelor of Technology) All India,ST Female-only,(including,Supernumerary),590189,590189
National Institute of Technology Nagaland Electronics and Instrumentation Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,84736,93859,84736,93859
National Institute of Technology Nagaland Electronics and Instrumentation Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Female-only,(including,Supernumerary),144374,155187
National Institute of Technology Nagaland Electronics and Instrumentation Engineering,"(4 Years,",Bachelor of Technology) Other State,EWS Gender-Neutral,95770,98268,95770,98268
National Institute of Technology Nagaland Electronics and Instrumentation Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,95900,101032,95900,101032
National Institute of Technology Nagaland Electronics and Instrumentation Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Female-only,(including,Supernumerary),163128,163128
"National Institute of Technology Nagaland Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State OPEN Female-only,(including Supernumerary),159031,180350,159031,180350
"National Institute of Technology Nagaland Mechanical Engineering (4 Years,",Bachelor of,Technology) Other State OBC-NCL Female-only,(including Supernumerary),185426,185426,185426,185426
National Institute of Technology Patna Artificial Intelligence and Data,Science (4,"Years, Bachelor of Technology) Home",State OBC-NCL,Gender-Neutral,27107,27107,27107
National Institute of Technology Patna Artificial Intelligence and Data,Science (4,"Years, Bachelor of Technology) Other",State OPEN,Gender-Neutral,21188,21188,21188
National Institute of Technology Patna Artificial Intelligence and Data,Science (4,"Years, Bachelor of Technology) Other",State OPEN,Female-only,(including,36283,36283
National Institute of Technology Patna Artificial Intelligence and Data,Science (4,"Years, Bachelor of Technology) Other",State EWS,Gender-Neutral,23392,23392,23392
National Institute of Technology Patna Artificial Intelligence and Data,Science (4,"Years, Bachelor of Technology) Other",State EWS,Female-only,(including,40287,40287
National Institute of Technology Patna Artificial Intelligence and Data,Science (4,"Years, Bachelor of Technology) Other",State OBC-NCL,Gender-Neutral,25721,25721,25776
"National Institute of Technology Patna Chemical Technology (5 Years,",Bachelor and,Master of Technology (Dual Degree)),Home State,EWS,Gender-Neutral,69134,69134
"National Institute of Technology Patna Chemical Technology (5 Years,",Bachelor and,Master of Technology (Dual Degree)),Other State,OPEN,Gender-Neutral,49719,49719
"National Institute of Technology Patna Chemical Technology (5 Years,",Bachelor and,Master of Technology (Dual Degree)),Other State,OPEN,Female-only (including Supernumerary),68860,68860
"National Institute of Technology Patna Chemical Technology (5 Years,",Bachelor and,Master of Technology (Dual Degree)),Other State,EWS,Gender-Neutral,58700,58700
"National Institute of Technology Patna Chemical Technology (5 Years,",Bachelor and,Master of Technology (Dual Degree)),Other State,OBC-NCL,Gender-Neutral,66003,66003
"National Institute of Technology Patna Chemical Technology (5 Years,",Bachelor and,Master of Technology (Dual Degree)),Other State,SC,Gender-Neutral,208843,208843
"National Institute of Technology Patna Civil Engineering (4 Years,",Bachelor of,Technology) Home State SC Female-only,(including Supernumerary),289327,289327,289327,289327
"National Institute of Technology Patna Civil Engineering (4 Years,",Bachelor of,Technology) Other State OPEN Female-only,(including Supernumerary),82365,92468,82365,92468
"National Institute of Technology Patna Civil Engineering (4 Years,",Bachelor of,Technology) Other State EWS Female-only,(including Supernumerary),105395,105395,105395,105395
"National Institute of Technology Patna Civil Engineering (4 Years,",Bachelor of,Technology) Other State OBC-NCL Female-only,(including Supernumerary),108220,108220,108220,108220
National Institute of Technology Patna Civil Engineering with Specialization,in Construction,"Technology and Management (5 Years,",Bachelor and,Master,of,62210,62210
National Institute of Technology Patna Civil Engineering with Specialization,in Construction,"Technology and Management (5 Years,",Bachelor and,Master,of,116413,116413
National Institute of Technology Patna Civil Engineering with Specialization,in Construction,"Technology and Management (5 Years,",Bachelor and,Master,of,74383,74383
National Institute of Technology Patna Civil Engineering with Specialization,in Construction,"Technology and Management (5 Years,",Bachelor and,Master,of,73797,73797
National Institute of Technology Patna Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Home State,OPEN Gender-Neutral,19321,19321,19321,19321
National Institute of Technology Patna Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Home State,OBC-NCL Gender-Neutral,24180,24451,24180,24451
National Institute of Technology Patna Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,19029,19078,19029,19078
National Institute of Technology Patna Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN (PwD),Gender-Neutral,368437,368437,368437
National Institute of Technology Patna Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL Gender-Neutral,24089,24167,24089,24167
National Institute of Technology Patna Computer Science and Engineering,"(4 Years,",Bachelor of Technology) Other State,OBC-NCL (PwD),Gender-Neutral,397244,397244,397244
National Institute of Technology Patna Computer Science and Engineering,with Specialization,"in Cyber Security (5 Years,",Bachelor and,Master,of,24909,25330
National Institute of Technology Patna Computer Science and Engineering,with Specialization,"in Data Science (5 Years,",Bachelor and,Master,of,28644,28644
National Institute of Technology Patna Computer Science and Engineering,with Specialization,"in Data Science (5 Years,",Bachelor and,Master,of,26748,26748
National Institute of Technology Patna Computer Science and Engineering,with Specialization,"in Data Science (5 Years,",Bachelor and,Master,of,31032,31032
National Institute of Technology Patna Computer Science and Engineering,with Specialization,"in Data Science (5 Years,",Bachelor and,Master,of,187894,187894
"National Institute of Technology Patna Electrical Engineering (4 Years,",Bachelor of,Technology) Other State OPEN Female-only,(including Supernumerary),52828,52828,52828,52828
"National Institute of Technology Patna Electrical Engineering (4 Years,",Bachelor of,Technology) Other State EWS Female-only,(including Supernumerary),59665,59665,59665,59665
National Institute of Technology Patna Electrical Engineering with Specialization,In Power,"System Engineering (5 Years, Bachelor",and Master,of,Technology,43238,43901
National Institute of Technology Patna Electrical Engineering with Specialization,In Power,"System Engineering (5 Years, Bachelor",and Master,of,Technology,76594,76594
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Home State,OPEN Gender-Neutral,25714,25714,25714,25714
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Home State,OPEN (PwD),Gender-Neutral,647668,647668,647668
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Home State,OBC-NCL Gender-Neutral,29481,31304,29481,31304
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Home State,OBC-NCL (PwD),Gender-Neutral,668545,668545,668545
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Gender-Neutral,23433,24388,23433,24388
National Institute of Technology Patna Electronics and Communication Engineering,"(4 Years,",Bachelor of Technology) Other State,OPEN Female-only,(including,Supernumerary),40868,40868
